Frequency,Angle_of_attack,Chord_length,Free_stream_velocity,Suction_side_displacement
200,7.3,0.2286,71.3,0.0104404
8000,0.0,0.1016,31.7,0.00150092
3150,3.3,0.1016,31.7,0.00251435
1600,0.0,0.1016,71.3,0.00121072
4000,7.2,0.1524,71.3,0.00752039
1000,0.0,0.0508,39.6,0.000791822
1000,9.9,0.1524,39.6,0.0233328
1250,6.7,0.1016,39.6,0.00578076
3150,9.5,0.0254,39.6,0.00449821
3150,6.7,0.1016,71.3,0.00478288
315,15.6,0.1016,39.6,0.0528487
2500,2.0,0.2286,31.7,0.00372371
2000,5.4,0.1524,71.3,0.00401199
250,17.4,0.0254,39.6,0.0172206
2000,1.5,0.3048,39.6,0.00392107
20000,0.0,0.0254,55.5,0.00041229
315,17.4,0.0254,39.6,0.0172206
630,9.9,0.1524,71.3,0.0193001
1250,3.3,0.1016,39.6,0.00245138
6300,12.3,0.1016,55.5,0.0368233
1000,12.6,0.1524,71.3,0.0483159
200,19.7,0.0508,39.6,0.036484
1000,2.0,0.2286,31.7,0.00372371
3150,12.3,0.1016,71.3,0.0337792
500,7.2,0.1524,71.3,0.00752039
500,4.0,0.2286,31.7,0.00509068
500,5.4,0.1524,39.6,0.00485029
800,12.3,0.1016,71.3,0.0337792
250,12.6,0.1524,71.3,0.0483159
1250,19.7,0.0508,71.3,0.0341183
1250,7.2,0.1524,71.3,0.00752039
2000,0.0,0.1524,71.3,0.0015988
250,5.3,0.2286,39.6,0.00614329
630,4.0,0.2286,39.6,0.00473801
400,8.9,0.1016,71.3,0.0103088
3150,3.3,0.1016,39.6,0.00245138
800,12.6,0.1524,39.6,0.0584113
6300,8.9,0.1016,71.3,0.0103088
4000,12.7,0.0254,39.6,0.0130253
6300,4.0,0.2286,55.5,0.0042862
630,4.0,0.2286,55.5,0.0042862
1600,17.4,0.0254,71.3,0.016104
1250,9.5,0.0254,39.6,0.00449821
12500,0.0,0.3048,71.3,0.00266337
8000,4.0,0.3048,71.3,0.00497773
630,2.0,0.2286,55.5,0.00313525
1250,8.4,0.0508,39.6,0.00566229
2000,11.2,0.0508,39.6,0.0150478
4000,8.4,0.0508,55.5,0.00544854
4000,3.0,0.3048,39.6,0.00495741
2500,5.4,0.1524,71.3,0.00401199
500,7.2,0.1524,39.6,0.00909175
1250,12.7,0.0254,39.6,0.0130253
4000,4.2,0.0508,71.3,0.00142788
1000,5.4,0.1524,55.5,0.00433288
5000,3.0,0.3048,39.6,0.00495741
2500,3.3,0.1016,55.5,0.002211
3150,22.2,0.0254,39.6,0.0229028
2500,0.0,0.2286,39.6,0.00253511
2000,5.4,0.1524,31.7,0.00525474
400,7.3,0.2286,55.5,0.0111706
3150,4.0,0.2286,55.5,0.0042862
500,4.0,0.2286,71.3,0.00400603
400,15.4,0.0508,55.5,0.0271925
2000,6.7,0.1016,55.5,0.0052139
4000,9.9,0.1524,39.6,0.0233328
200,8.9,0.1016,39.6,0.0124596
5000,3.3,0.1016,55.5,0.002211
630,17.4,0.0254,55.5,0.0165706
1000,5.4,0.1524,39.6,0.00485029
1600,0.0,0.1524,31.7,0.00209405
800,0.0,0.0508,31.7,0.000812164
1600,0.0,0.3048,71.3,0.00266337
1000,8.4,0.0508,31.7,0.00580776
16000,0.0,0.1524,71.3,0.0015988
1250,4.0,0.2286,55.5,0.0042862
2500,0.0,0.3048,71.3,0.00266337
8000,0.0,0.0254,55.5,0.00041229
1600,5.4,0.1524,71.3,0.00401199
4000,15.4,0.0508,39.6,0.0282593
2000,0.0,0.3048,39.6,0.00310138
500,5.4,0.1524,71.3,0.00401199
6300,0.0,0.2286,31.7,0.0027238
2500,3.0,0.3048,39.6,0.00495741
2500,7.2,0.1524,71.3,0.00752039
630,12.3,0.1016,39.6,0.0408268
315,9.9,0.1524,31.7,0.0252785
1000,17.4,0.0254,31.7,0.0176631
315,6.7,0.1016,31.7,0.00592927
6300,5.4,0.1524,39.6,0.00485029
500,15.6,0.1016,71.3,0.0437259
3150,4.2,0.0508,39.6,0.00152689
5000,8.9,0.1016,71.3,0.0103088
315,5.3,0.2286,39.6,0.00614329
16000,4.0,0.2286,71.3,0.00400603
500,7.3,0.2286,31.7,0.0132672
800,4.0,0.2286,55.5,0.0042862
630,8.4,0.0508,55.5,0.00544854
1250,17.4,0.0254,39.6,0.0172206
1000,0.0,0.1016,71.3,0.00121072
315,7.3,0.2286,39.6,0.0123481
6300,5.4,0.1524,71.3,0.00401199
5000,5.4,0.1524,31.7,0.00525474
3150,15.4,0.0508,55.5,0.0271925
1600,11.2,0.0508,39.6,0.0150478
8000,12.7,0.0254,71.3,0.0121808
3150,22.2,0.0254,71.3,0.0214178
10000,7.2,0.1524,39.6,0.00909175
5000,0.0,0.2286,39.6,0.00253511
1600,12.6,0.1524,39.6,0.0584113
2000,8.4,0.0508,39.6,0.00566229
2000,0.0,0.0254,39.6,0.000428464
1600,0.0,0.0254,39.6,0.000428464
800,1.5,0.3048,71.3,0.00336729
400,7.3,0.2286,71.3,0.0104404
4000,5.4,0.1524,39.6,0.00485029
1000,0.0,0.0254,31.7,0.000439472
3150,0.0,0.2286,55.5,0.00229336
315,8.9,0.1016,39.6,0.0124596
10000,4.2,0.0508,71.3,0.00142788
5000,2.7,0.1524,39.6,0.00294804
2500,12.6,0.1524,39.6,0.0584113
500,9.9,0.1524,39.6,0.0233328
1000,1.5,0.3048,39.6,0.00392107
500,6.7,0.1016,55.5,0.0052139
400,2.0,0.2286,39.6,0.00346574
200,17.4,0.0254,55.5,0.0165706
400,9.9,0.1524,39.6,0.0233328
630,6.7,0.1016,55.5,0.0052139
250,9.9,0.1524,71.3,0.0193001
1600,4.8,0.0254,39.6,0.000907475
1600,8.9,0.1016,39.6,0.0124596
5000,0.0,0.0254,31.7,0.000439472
500,2.0,0.2286,39.6,0.00346574
4000,4.8,0.0254,31.7,0.000930789
630,5.3,0.2286,71.3,0.0051942
2500,7.2,0.1524,39.6,0.00909175
1250,0.0,0.3048,71.3,0.00266337
3150,0.0,0.3048,71.3,0.00266337
8000,4.0,0.2286,71.3,0.00400603
5000,12.6,0.1524,71.3,0.0483159
1600,19.7,0.0508,71.3,0.0341183
1000,15.6,0.1016,71.3,0.0437259
315,0.0,0.2286,39.6,0.00253511
6300,22.2,0.0254,71.3,0.0214178
10000,0.0,0.3048,55.5,0.00283081
400,9.5,0.0254,39.6,0.00449821
1600,0.0,0.1016,39.6,0.00146332
400,9.9,0.1524,31.7,0.0252785
1600,9.9,0.1524,71.3,0.0193001
2000,0.0,0.0508,39.6,0.000791822
250,12.3,0.1016,31.7,0.0418756
4000,7.2,0.1524,39.6,0.00909175
1000,3.3,0.1016,55.5,0.002211
8000,2.0,0.2286,71.3,0.00293031
6300,0.0,0.3048,55.5,0.00283081
1250,4.0,0.2286,39.6,0.00473801
800,5.4,0.1524,39.6,0.00485029
12500,0.0,0.3048,39.6,0.00310138
3150,3.0,0.3048,71.3,0.00425727
630,4.0,0.2286,31.7,0.00509068
1000,0.0,0.3048,31.7,0.00331266
1250,8.4,0.0508,55.5,0.00544854
5000,0.0,0.2286,55.5,0.00229336
2500,3.0,0.3048,55.5,0.00452492
630,15.4,0.0508,71.3,0.0264269
630,8.9,0.1016,39.6,0.0124596
3150,1.5,0.3048,71.3,0.00336729
500,11.2,0.0508,39.6,0.0150478
6300,12.6,0.1524,39.6,0.0584113
8000,0.0,0.3048,39.6,0.00310138
800,6.7,0.1016,71.3,0.00478288
10000,2.7,0.1524,71.3,0.00243851
500,15.4,0.0508,71.3,0.0264269
5000,8.4,0.0508,71.3,0.00529514
4000,11.2,0.0508,39.6,0.0150478
800,8.4,0.0508,71.3,0.00529514
2500,2.7,0.1524,39.6,0.00294804
2500,12.7,0.0254,39.6,0.0130253
1600,7.2,0.1524,71.3,0.00752039
10000,0.0,0.1524,71.3,0.0015988
400,8.4,0.0508,39.6,0.00566229
10000,0.0,0.1016,39.6,0.00146332
3150,4.2,0.0508,71.3,0.00142788
500,19.7,0.0508,39.6,0.036484
3150,0.0,0.3048,31.7,0.00331266
630,12.7,0.0254,39.6,0.0130253
5000,1.5,0.3048,39.6,0.00392107
630,9.9,0.1524,39.6,0.0233328
5000,3.3,0.1016,39.6,0.00245138
5000,0.0,0.2286,71.3,0.00214345
2500,2.0,0.2286,39.6,0.00346574
315,12.6,0.1524,71.3,0.0483159
6300,4.0,0.2286,31.7,0.00509068
4000,2.7,0.1524,71.3,0.00243851
3150,8.4,0.0508,55.5,0.00544854
1600,4.2,0.0508,71.3,0.00142788
1600,4.0,0.3048,39.6,0.00579636
500,4.8,0.0254,39.6,0.000907475
8000,3.0,0.3048,71.3,0.00425727
4000,0.0,0.3048,39.6,0.00310138
2000,4.8,0.0254,39.6,0.000907475
630,0.0,0.2286,55.5,0.00229336
10000,4.8,0.0254,39.6,0.000907475
500,0.0,0.3048,31.7,0.00331266
1000,5.4,0.1524,71.3,0.00401199
2000,0.0,0.0254,31.7,0.000439472
4000,15.4,0.0508,55.5,0.0271925
800,11.2,0.0508,39.6,0.0150478
3150,0.0,0.0508,39.6,0.000791822
2000,4.0,0.3048,39.6,0.00579636
3150,3.0,0.3048,39.6,0.00495741
5000,0.0,0.0254,55.5,0.00041229
315,1.5,0.3048,39.6,0.00392107
800,15.6,0.1016,71.3,0.0437259
2500,3.0,0.3048,71.3,0.00425727
400,5.4,0.1524,71.3,0.00401199
2500,0.0,0.0508,55.5,0.00076193
8000,0.0,0.1524,55.5,0.00172668
2000,4.0,0.3048,71.3,0.00497773
1250,2.0,0.2286,71.3,0.00293031
3150,4.0,0.2286,71.3,0.00400603
1250,7.3,0.2286,31.7,0.0132672
1250,4.8,0.0254,31.7,0.000930789
800,4.0,0.2286,39.6,0.00473801
400,3.0,0.3048,71.3,0.00425727
4000,15.4,0.0508,71.3,0.0264269
12500,0.0,0.0508,71.3,0.000740478
200,11.2,0.0508,71.3,0.014072
16000,0.0,0.0254,39.6,0.000428464
1250,3.0,0.3048,71.3,0.00425727
3150,7.3,0.2286,39.6,0.0123481
5000,1.5,0.3048,71.3,0.00336729
8000,3.3,0.1016,31.7,0.00251435
3150,15.4,0.0508,71.3,0.0264269
630,6.7,0.1016,39.6,0.00578076
1000,4.0,0.2286,71.3,0.00400603
8000,0.0,0.1016,55.5,0.00131983
250,22.2,0.0254,39.6,0.0229028
5000,0.0,0.0508,71.3,0.000740478
5000,5.3,0.2286,39.6,0.00614329
1250,0.0,0.2286,31.7,0.0027238
800,3.3,0.1016,55.5,0.002211
3150,2.0,0.2286,55.5,0.00313525
2000,4.0,0.2286,71.3,0.00400603
1250,3.0,0.3048,55.5,0.00452492
800,22.2,0.0254,71.3,0.0214178
3150,9.9,0.1524,39.6,0.0233328
1600,2.0,0.2286,71.3,0.00293031
6300,9.5,0.0254,39.6,0.00449821
2500,9.5,0.0254,31.7,0.00461377
2500,1.5,0.3048,71.3,0.00336729
8000,1.5,0.3048,39.6,0.00392107
2500,11.2,0.0508,71.3,0.014072
500,0.0,0.3048,39.6,0.00310138
800,9.5,0.0254,31.7,0.00461377
2000,7.3,0.2286,31.7,0.0132672
1000,7.3,0.2286,31.7,0.0132672
4000,0.0,0.0508,31.7,0.000812164
1000,12.6,0.1524,39.6,0.0584113
400,6.7,0.1016,39.6,0.00578076
10000,12.7,0.0254,39.6,0.0130253
400,15.4,0.0508,39.6,0.0282593
2500,4.8,0.0254,39.6,0.000907475
10000,1.5,0.3048,71.3,0.00336729
800,1.5,0.3048,39.6,0.00392107
3150,8.4,0.0508,31.7,0.00580776
500,1.5,0.3048,39.6,0.00392107
1600,0.0,0.1524,71.3,0.0015988
630,15.4,0.0508,31.7,0.0289853
6300,9.9,0.1524,39.6,0.0233328
6300,0.0,0.0254,39.6,0.000428464
5000,9.5,0.0254,55.5,0.0043284
5000,7.3,0.2286,39.6,0.0123481
3150,0.0,0.0508,31.7,0.000812164
6300,9.9,0.1524,71.3,0.0193001
5000,17.4,0.0254,71.3,0.016104
1250,15.4,0.0508,39.6,0.0282593
250,17.4,0.0254,31.7,0.0176631
5000,7.3,0.2286,71.3,0.0104404
800,3.3,0.1016,31.7,0.00251435
500,19.7,0.0508,71.3,0.0341183
2000,15.6,0.1016,39.6,0.0528487
2000,3.0,0.3048,71.3,0.00425727
6300,7.2,0.1524,71.3,0.00752039
1600,8.4,0.0508,31.7,0.00580776
2500,9.9,0.1524,31.7,0.0252785
5000,0.0,0.0254,71.3,0.000400682
315,19.7,0.0508,71.3,0.0341183
5000,0.0,0.3048,31.7,0.00331266
3150,2.0,0.2286,39.6,0.00346574
2000,4.2,0.0508,71.3,0.00142788
1600,6.7,0.1016,55.5,0.0052139
2500,0.0,0.2286,31.7,0.0027238
2000,0.0,0.2286,39.6,0.00253511
630,3.0,0.3048,31.7,0.00529514
1250,8.9,0.1016,39.6,0.0124596
8000,5.3,0.2286,71.3,0.0051942
800,22.2,0.0254,39.6,0.0229028
1600,3.0,0.3048,55.5,0.00452492
2500,15.6,0.1016,39.6,0.0528487
2000,2.0,0.2286,71.3,0.00293031
800,12.3,0.1016,39.6,0.0408268
400,22.2,0.0254,71.3,0.0214178
630,9.5,0.0254,31.7,0.00461377
6300,0.0,0.3048,71.3,0.00266337
2500,7.3,0.2286,31.7,0.0132672
250,15.4,0.0508,55.5,0.0271925
6300,12.6,0.1524,71.3,0.0483159
6300,2.0,0.2286,71.3,0.00293031
4000,5.4,0.1524,31.7,0.00525474
6300,5.3,0.2286,39.6,0.00614329
2500,0.0,0.0254,71.3,0.000400682
1250,17.4,0.0254,31.7,0.0176631
800,5.4,0.1524,55.5,0.00433288
5000,0.0,0.1016,31.7,0.00150092
400,11.2,0.0508,71.3,0.014072
3150,0.0,0.1524,71.3,0.0015988
5000,12.6,0.1524,39.6,0.0584113
1000,8.9,0.1016,71.3,0.0103088
500,3.0,0.3048,31.7,0.00529514
1000,0.0,0.1524,31.7,0.00209405
500,9.5,0.0254,31.7,0.00461377
1000,0.0,0.0508,55.5,0.00076193
2000,8.9,0.1016,71.3,0.0103088
3150,0.0,0.0508,71.3,0.000740478
10000,2.7,0.1524,39.6,0.00294804
500,4.0,0.3048,39.6,0.00579636
1250,12.3,0.1016,39.6,0.0408268
500,12.6,0.1524,71.3,0.0483159
4000,22.2,0.0254,71.3,0.0214178
250,15.6,0.1016,71.3,0.0437259
5000,0.0,0.1016,55.5,0.00131983
250,15.4,0.0508,39.6,0.0282593
1250,15.6,0.1016,39.6,0.0528487
4000,0.0,0.3048,71.3,0.00266337
3150,11.2,0.0508,39.6,0.0150478
800,9.9,0.1524,39.6,0.0233328
8000,17.4,0.0254,71.3,0.016104
4000,4.0,0.2286,31.7,0.00509068
6300,4.2,0.0508,71.3,0.00142788
8000,0.0,0.0508,71.3,0.000740478
8000,4.0,0.2286,55.5,0.0042862
630,9.5,0.0254,71.3,0.00420654
500,17.4,0.0254,71.3,0.016104
1250,12.7,0.0254,71.3,0.0121808
400,2.0,0.2286,55.5,0.00313525
5000,17.4,0.0254,55.5,0.0165706
6300,5.3,0.2286,71.3,0.0051942
1600,9.5,0.0254,31.7,0.00461377
3150,15.4,0.0508,31.7,0.0289853
315,3.0,0.3048,31.7,0.00529514
16000,2.7,0.1524,71.3,0.00243851
3150,12.7,0.0254,39.6,0.0130253
630,6.7,0.1016,71.3,0.00478288
3150,12.7,0.0254,71.3,0.0121808
250,12.3,0.1016,55.5,0.0368233
315,7.3,0.2286,31.7,0.0132672
1600,2.7,0.1524,39.6,0.00294804
1600,17.4,0.0254,31.7,0.0176631
4000,0.0,0.2286,39.6,0.00253511
500,6.7,0.1016,39.6,0.00578076
6300,0.0,0.2286,39.6,0.00253511
6300,3.3,0.1016,39.6,0.00245138
3150,3.3,0.1016,71.3,0.00202822
4000,0.0,0.2286,55.5,0.00229336
16000,1.5,0.3048,71.3,0.00336729
1250,3.0,0.3048,31.7,0.00529514
2000,8.4,0.0508,55.5,0.00544854
800,15.4,0.0508,39.6,0.0282593
6300,15.4,0.0508,39.6,0.0282593
2000,9.9,0.1524,39.6,0.0233328
400,22.2,0.0254,39.6,0.0229028
500,5.4,0.1524,55.5,0.00433288
3150,0.0,0.0254,71.3,0.000400682
1250,3.0,0.3048,39.6,0.00495741
5000,9.5,0.0254,31.7,0.00461377
1000,8.4,0.0508,39.6,0.00566229
315,7.3,0.2286,55.5,0.0111706
2500,5.3,0.2286,71.3,0.0051942
4000,0.0,0.1524,31.7,0.00209405
400,15.6,0.1016,71.3,0.0437259
2000,0.0,0.1524,31.7,0.00209405
1250,3.3,0.1016,31.7,0.00251435
400,4.0,0.2286,31.7,0.00509068
3150,5.3,0.2286,39.6,0.00614329
800,0.0,0.3048,71.3,0.00266337
400,5.3,0.2286,71.3,0.0051942
1250,15.4,0.0508,55.5,0.0271925
3150,8.4,0.0508,39.6,0.00566229
1600,12.3,0.1016,71.3,0.0337792
2500,0.0,0.1524,55.5,0.00172668
1000,0.0,0.1016,31.7,0.00150092
1600,0.0,0.3048,31.7,0.00331266
1250,9.9,0.1524,71.3,0.0193001
1250,3.3,0.1016,55.5,0.002211
6300,4.8,0.0254,31.7,0.000930789
2000,19.7,0.0508,39.6,0.036484
10000,4.0,0.3048,71.3,0.00497773
3150,7.3,0.2286,31.7,0.0132672
8000,3.0,0.3048,55.5,0.00452492
2500,0.0,0.0254,39.6,0.000428464
1250,2.7,0.1524,39.6,0.00294804
315,11.2,0.0508,39.6,0.0150478
500,12.6,0.1524,39.6,0.0584113
3150,1.5,0.3048,39.6,0.00392107
3150,12.3,0.1016,39.6,0.0408268
1250,4.0,0.3048,39.6,0.00579636
800,15.4,0.0508,71.3,0.0264269
8000,4.8,0.0254,71.3,0.000848633
12500,4.2,0.0508,71.3,0.00142788
1250,7.3,0.2286,55.5,0.0111706
2500,2.0,0.2286,71.3,0.00293031
1600,1.5,0.3048,71.3,0.00336729
2500,8.4,0.0508,71.3,0.00529514
800,3.0,0.3048,39.6,0.00495741
630,4.0,0.2286,71.3,0.00400603
12500,4.8,0.0254,55.5,0.000873218
4000,4.0,0.2286,55.5,0.0042862
2000,12.3,0.1016,31.7,0.0418756
500,12.7,0.0254,71.3,0.0121808
630,0.0,0.1524,31.7,0.00209405
5000,4.8,0.0254,39.6,0.000907475
630,8.4,0.0508,31.7,0.00580776
1000,5.3,0.2286,71.3,0.0051942
